observed,started_utc,requests,failed,status,routes,missing,ip
2026-09-26,2026-09-26T12:52:36Z,1272,0,ok,AGA;AGP;ALC;ARN;ATH;BDS;BGY;BLQ;BOH;BRS;BVA;CFU;CHQ;CIA;CRL;DBV;DUB;EDI;EMA;GDN;GLA;GRO;LBA;LIS;LPL;LTN;MAD;MAN;MLA;MRS;NAP;NCL;OPO;PFO;PMI;PMO;PSA;PSR;RAK;RJK;RMI;SNN;SOF;STN;SUF;SVQ;TGD;TIA;TRF;TRN;TSF;VLC;ZAD,,132.196.54.231
2026-09-26,2026-09-26T20:23:47Z,1272,0,ok,AGA;AGP;ALC;ARN;ATH;BDS;BGY;BLQ;BOH;BRS;BVA;CFU;CHQ;CIA;CRL;DBV;DUB;EDI;EMA;GDN;GLA;GRO;LBA;LIS;LPL;LTN;MAD;MAN;MLA;MRS;NAP;NCL;OPO;PFO;PMI;PMO;PSA;PSR;RAK;RJK;RMI;SNN;SOF;STN;SUF;SVQ;TGD;TIA;TRF;TRN;TSF;VLC;ZAD,,20.168.103.243
